High School	 StreetAddress	 City	 State	 Zip		
Hatboro-Horsham Senior High School	899 Horsham Road		Horsham	 PA 19044		
Haverford Senior High School	200 Mill Rd		Havertown	 PA 19083		
Hazleton Area High School	1601 W 23rd St		Hazleton	 PA 18201		
Hebron Center Christian School	1149 State Route 44 N	Coudersport	 PA 16915			
Hempfield Area Senior High School	4345 Route 136		Greensburg	 Pa 15601		
Hempfield Senior High School	200 Stanley Ave		Landisville	 PA 17538		
Hershey High School	Homestead road	P.O. Box 898				
Hickory High School	640 N Hermitage Rd		Hermitage	 PA 16148		
High Point Bapt Academy	P.O. Box 188	Chapel  & Furnace Roads				
Hollidaysburg Area Senior High School	1510 North Montgomery Street		Hollidaysburg	 PA 16648		
Holy Name High School	955 E Wyomissing Blvd		Reading	 PA 19611		
Homer Center High School	70 Wildcat Ln	Homer City	 PA 15748			
Honesdale High School	459 Terrace St	Honesdale	 PA 18431			
Hughesville High School	349 Cemetery Street	Hughesville	 PA 17737			
Huntingdon Area Senior High School	2400 Cassady Ave Ste 1		Huntingdon	 PA 16652		
Imhotep Institute Charter High School	2101 W Godfrey Avenue		Philadelphia	 PA 19138		
Indian Valley Senior High School	700 Cedar St		Lewistown	 PA 17044		
Indiana Area Senior High School	450 N 5th St		Indiana	 PA 15701		
Interboro High School	500 16th Ave	Prospect Park	 PA 19076			
Iroquois Junior/Senior High School	4301 Main St		Erie	 PA 16511		
James M Coughlin Junior/Senior High School	80 N Washington St		Wilkes-Barre	 PA 18701		
Jenkintown High School	325 Highland avenue		Jenkintown	 PA 19046		
Jersey Shore Area Senior High School	701 Cemetery St		Jersey Shore	 PA 17740		
Jim Thorpe Area Senior High School	1 Olympian Way		Jim Thorpe	 PA 18229		
Johnsonburg Area High School	315 High School Road	Johnsonburg	 PA 15845			
Johnstown Christian School	125 Christian School Rd	Hollsopple	 PA 15935			
Juniata High School	RR #4	 Box 259	Mifflintown	 PA 17059		
Juniata Valley High School	P.O. Box 318	Alexandria	 PA 16611			
Kane Area High School	6965 Route 321	Kane	 PA 16735			
Karns City High School	1446 Kittanning Pike		Karns City	 PA 16041		
Kennard-Dale High School	393 Main St		Fawn Grove	 PA 17321		
Kennedy Kenrick Catholic High School	250 E Johnson Highway		Norristown	 PA 19401		
Kennett High School	100 E South St		Kennett Square	 PA 19348		
Keystone Junior/Senior High School	700 Beatty Avenue		Knox	 PA 16232		
Keystone National High School	420 West Fifth Street		Bloomsburg	 PA 17815		
Keystone Oaks High School	1000 Kelton Ave		Pittsburgh	 PA 15216		
King Martin Luther High School	6100 Stenton Ave		Philadelphia	 PA 19138		
Kittanning Senior High School	1200 Orr Ave		Kittanning	 PA 16201		
Kutztown Area Senior High School	50 Trexler Ave		Kutztown	 PA 19530		
La Salle College High School	8605 Cheltenham Avenue		Wyndmoor	 PA 19038		
Lake-Lehman Junior/Senior High School	Market St	 P.O Box 38		Lehman	 Pa 18627	
Lamberton Robert High School	7501 Woodbine Ave1	Philadelphia	 PA 19151			
Lampeter-Strasburg Senior High School	P.O. Box 428		Lampeter	 PA 17537		
Lancaster Catholic High School	650 Juliette Avenue	Lancaster	 PA 17601-4387			
Lancaster Mennonite High School	2176 Lincoln Hwy East		Lancaster	 PA 17602		
Langley High School	2940 Sheraden Blvd	Pittsburgh	 PA 15204			
Lankenau High School	201 Spring Lane		Philadelphia	 PA 19128		
Lansdale Catholic High School	700 Lansdale Ave		Lansdale	 PA 19446		
Laurel Highlands Senior High School	300 Bailey Ave		Uniontown	 PA 15401		
Laurel Junior/Senior High School	2497 Harlansburg Rd		New Castle	 PA 16101		
Leechburg Area High School	215 1st St		Leechburg	 PA 15656		
Lehighton Area High School	1 Indian Ln	Lehighton	 PA 18235			
Lewisburg High School	815 Market St		Lewisburg	 PA 17837		
Lewistown Area Senior High School	2 Manor Drive		Lewistown	 PA 17044		
Liberty High School	1115 Linden St	Bethlehem	 PA 18018			
Ligonier Valley High School	40 Springer Rd		Ligonier	 PA 15658		
Lincoln High School	3201 Ryan Ave		Philadelphia	 PA 19136		
Line Mountain Jr/Sr High School	187 Line Mountain Road	Herndon	 PA 17830			
Linesville High School	302 W School Dr		Linesville	 PA 16424		
Little Flower Catholic High School	1000 West Lycoming Street	Philadelphia	 PA 19140-2199			
Littlestown Senior High School	200 E Myrtle St		Littlestown	 PA 17340		
Lock Haven Christian School	210 N Vesper St	Lock Haven	 PA 17745			
Lower Dauphin High School	201 S Hanover St		Hummelstown	 PA 17036		
Lower Merion High School	245 E Montgomery Ave	Ardmore	 PA 19003			
Lower Moreland High School	555 Red Lion Rd		Huntingdon Valley	 PA 19006		
Loyalsock Township Senior High School	1801 Loyalsock Dr		Williamsport	 PA 17701		
Mahanoy Area High School	1 Golden Bear Dr		Mahanoy City	 PA 17948		
Mansfield Jr/Sr High School	73 W. Wellsboro Street	Mansfield	 PA 16933			
Marian Catholic High School	166 Marian Ave.		Tamaqua	 PA 18252		
Marion Center Area High School	22800 Route 403 Hwy N	Marion Center	 PA 15759			
Marple Newtown High School	120 Media Line Road	Newtown Square	 PA 19073			
Mars High School	520 Route 228	Mars	 PA 16046			
McConnellsburg High School	151 E Cherry St		McConnellsburg	 PA 17233		
Mcguffey High School	86 McGuffey Dr	Claysville	 PA 15323			
McKeesport Area Senior High School	1960 Eden Park Blvd		McKeesport	 PA 15132		
Meadville Area High School	930 North Street Extension	Meadville	 PA 16335			
Mechanicsburg Area Senior High School	500 S Broad St		Mechanicsburg	 PA 17055		
Memorial Christian School	2100 West Third Street	Williamsport	 PA 17701-5504			
Mercer High School	545 West Butler St.	Mercer	 PA 16137			
Mercy Vocational High School	2900 W Hunting Park Ave		Philadelphia	 PA 19129		
Methacton High School	1001 Kriebel Mill Road		Norristown	 PA 19403		
Meyersdale Area High School	1349 Shaw Mines Rd		Meyersdale	 PA 15552		
Midd-west High School	540 E Main St	Middleburg	 PA 17842			
Middletown Area High School	1155 N Union St		Middletown	 PA 17057		
Mifflinburg Area High School	75 Market St	Mifflinburg	 PA 17844			
Millersburg Area Senior High School	799 Center St		Millersburg	 PA 17061		
Milton High School	700 Mahoning St		Milton	 PA 17847		
Minersville Area High School	P. O. Box 787	Minersville	 PA 17954			
Mohawk Jr Senior High School	385 Mohawk School Rd	Bessemer	 PA 16112			
Nativity B V M High School	1 Lawtons Hill		Pottsville	 PA 17901		
Nazareth Academy High School	4001 Grant Avenue		Philadelphia	 PA 19114		
Nazareth Area High School	501 East Center Street		Nazareth	 PA 18064		
Neshaminy High School	2001 Old Lincoln Hwy	Langhorne	 PA 19047			
New Brighton Area High School	3200 43rd St		New Brighton	 PA 15066		
New Castle Junior/Senior High School	300 E Lincoln Ave		New Castle	 PA 16101		
New Hope-Solebury High School	180 W Bridge St		New Hope	 PA 18938		
New Oxford Senior High School	130 Berlin Road		New Oxford	 PA 17350		
Norristown Area High School	1900 Eagle Dr		Norristown	 PA 19403		
North Allegheny Senior High School	10375 Perry Hwy		Wexford	 PA 15090		
North Catholic High School	1400 Troy Hill Rd		Pittsburgh	 PA 15212		
North East High School	1901 Freeport Rd	North East	 PA 16428			
North Hills Senior High School	53 Rochester Rd		Pittsburgh	 PA 15229		
North Penn Senior High School	1340 S Valley Forge Rd		Lansdale	 PA 19446		
North Pocono High School	701 Church Street	Moscow	 PA 18444			
North Schuylkill Junior/Senior High School	15 Academy Lane	Ashland	 PA 17921			
North Star High School	400 Ohio St		Boswell	 PA 15531		
Northeast Catholic High School	1842 E Torresdale Ave		Philadelphia	 PA 19124		
Northeast High School	1601 Cottman Ave		Philadelphia	 PA 19111		
Northeastern Senior High School	300 High St		Manchester	 PA 17345		
Northern Cambria High School	813-35th Street	Northern Cambria	 PA 15714			
Northern High School	653 S Baltimore St		Dillsburg	 PA 17019		
Northern Lehigh Senior High School	1 Bulldog Ln		Slatington	 PA 18080		
Northwest Area High School	243 Thorne Hill Rd	Shickshinny	 PA 18655			
Northwestern LeHigh School	6493 Route 309		New Tripoli	 PA 18066		
Northwestern Senior High School	200 Harthan Way	Albion	 PA 16401			
Norwin High School	251 McMahon Drive	North Huntingdon	 PA 15642			
Notre Dame High School	60 Spangenburg Avenue	East Stroudsburg	 PA 18301-2799			
Notre Dame High School	3417 Church Rd		Easton	 PA 18045		
Notre Dame Junior Senior High School	60 Spangenburg Ave		East Stroudsburg	 PA 18301		
Oakland Catholic High School	144 North Craig Street		Pittsburgh	 PA 15213		
Octorara Area High School	226 Highland Rd	Atglen	 PA 19310			
Oil City Senior High School	10 Lynch Blvd		Oil City	 PA 16301		
Oliver High School	2323 Brighton Road	Pittsburgh	 PA 15212			
Oswayo Valley High School	318 S Oswayo St	Shinglehouse	 PA 16748			
Our Lady Lourdes Regional High School	2001 Clinton Avenue	Coal Township	 PA 17866			
Our Lady Of Sacred Heart High School	1504 Woodcrest Avenue	Coraopolis	 PA 15108			
Overbrook High School	5898 Lancaster Ave	Philadelphia	 PA 19131			
Owen J Roberts High School	981 Ridge Rd		Pottstown	 PA 19465		
Oxford Area High School	705 Waterway Rd		Oxford	 PA 19363		
Palisades High School	35 Church Hill Rd	Kintnersville	 PA 18930			
Palmerton Area High School	3525 Fireline Rd		Palmerton	 PA 18071		
Palmyra Area Senior High School	1125 Park Dr		Palmyra	 PA 17078		
Panther Valley Senior High School	Route 209	 P.O. Box 40		Lansford	 PA 18232	
Parkland High School	2700 N Cedar Crest Blvd	Allentown	 PA 18104			
Peabody High School	515 N Highland Ave		Pittsburgh	 PA 15206		
Pen Argyl Area High School	501 W Laurel Ave		Pen Argyl	 PA 18072		
Penn Cambria High School	401 Linden Ave		Cresson	 PA 16630		
Penn Hills Senior High School	12200 Garland Dr		Pittsburgh	 PA 15235		
Penn Manor High School	100 East Cottage Ave	Millersville	 PA 17551			
Penn Trafford High School	P.O. Box 530		Harrison City	 PA 15636		
Penn Wood Senior High School	100 Green Avenue		Lansdowne	 PA 19050		
Penncrest High School	134 Barren Rd		Media	 PA 19063		
Pennridge High School	Lower House	1228 North Fifth Street				
Penns Manor High School	6003 Route 553 Hwy	Clymer	 PA 15728			
Penns Valley High School	4545 Penns Valley Road	Spring Mills	 PA 16875			
Pennsbury High School	705 Hood Blvd		Fairless Hills	 PA 19030		
Pequea Valley High School	4033 E Newport Rd	P.O. Box 287				
Perkiomen Valley High School	509 Gravel Rd		Collegeville	 PA 19426		
Peters Township High School	264 East McMurray Road	McMurray	 PA 15317			
Philadelphia Mennonite High School	860 N 24th St	Philadelphia	 PA 19130			
Philipsburg-osceola Area High School	502 Philips St.		Philipsburg	 PA 16866		
Phoenixville Area High School	1200 Gay St		Phoenixville	 PA 19460		
Pine Grove Area High School	101 School Street		Pine Grove	 PA 17963		
Pine-Richland High School	700 Warrendale Rd		Gibsonia	 PA 15044		
Pius X High School	580 Third Ave.	Bangor	 PA 18013-1376			
Pleasant Valley High School	Route 209		Brodheadsville	 PA 18322		
Plum Senior High School	900 Elicker Rd		Pittsburgh	 PA 15239		
Plumstead Christian School	5765 Old Easton Road	Plumsteadville	 PA 18949			
Plymouth-Whitemarsh Senior High School	201 E Germantown Pike		Plymouth Meeting	 PA 19462		
Pocono Mountain West High School	Hc 89 Box 2002		Pocono Summit	 PA 18346		
Port Allegany Junior/Senior High School	20 Oak St		Port Allegany	 PA 16743		
Pottsgrove Senior High School	1345 Kauffman Rd		Pottstown	 PA 19464		
Pottstown Senior High School	750 N Washington St		Pottstown	 PA 19464		
Pottsville Area High School	16th Street  & Elk Avenue		Pottsville	 PA 17901		
Punxsutawney Area High School	500 N Findley Street	Punxsutawney	 PA 15767			
Purchase Line Junior/Senior High School	16559 Route 286 Hwy E	P.O. Box 374				
Quaker Valley High School	625 Beaver St		Leetsdale	 PA 15056		
Quakertown Community Senior High School	600 Park Ave		Quakertown	 PA 18951		
Quigley Catholic High School	200 Quigley Dr	Baden	 PA 15005			
Radnor Senior High School	130 King of Prussia Rd		Radnor	 PA 19087		
Reading Senior High School	801 N 13th St		Reading	 PA 19604		
Red Land Senior High School	560 Fishing Creek Rd		Lewisberry	 PA 17339		
Red Lion Area Senior High School	200 Horace Mann Ave		Red Lion	 PA 17356		
Redbank Valley High School	910 Broad St		New Bethlehem	 PA 16242		
Revival Hill Christian High School	322 W. Mt. Pleasant Ave		Philadelphia	 PA 19119		
Richland High School	One Academic Avenue	Johnstown	 PA 15904			
Ridgway Area High School	1403 Hill St P.O. Box 447		Ridgway	 PA 15853		
Ridley High School	901 Morton Avenue		Folsom	 PA 19033		
Ringgold High School	1 Ram Drive	Monongahela	 PA 15063			
Salem Christian School	8031 Salem Bible Church Road	w Macungie	 PA 18062			
Salisbury Senior High School	500 East Montgomery Street	Allentown	 PA 18103			
Salisbury-Elk Lick Junior/Senior High School	Smith Ave P.O. Box 68		Salisbury	 PA 15558		
Saucon Valley Senior High School	2100 Polk Valley Rd		Hellertown	 PA 18055		
Sayre Area High School	333 W Lockhart St	Sayre	 PA 18840			
Schenley High School	129 Denniston Avenue	Pittsburgh	 PA 15206-4090			
Schuylkill Valley High School	929 Lakeshore Dr		Leesport	 PA 19533		
Selinsgrove Area High School	500 North Broad Street	Selinsgrove	 PA 17870			
Seneca High School	10770 Wattsburg Rd	Erie	 PA 16509			
Seneca Valley Senior High School	128 Seneca School Rd		Harmony	 PA 16037		
Serra Catholic High School	200 Hershey Drive		McKeesport	 PA 15132		
Seton Catholic High School	37 William St		Pittston	 PA 18640		
Seton-La Salle High School	1000 McNeilly Ave		Pittsburgh	 PA 15226		
Shaler Area High School	381 Wible Run Rd		Pittsburgh	 PA 15209		
Shanksville-stonycreek High School	1325 Corner Stone Rd	Shanksville	 PA 15560			
Sheffield Middle/High School	Star Route Box 600		Sheffield	 PA 16347		
Shenango High School	2550 Ellwood Road	New Castle	 PA 16101			
Shikellamy High School	6th  & Walnut Streets		Sunbury	 PA 17801		
Simon Gratz High School	1798 W. Hunting Park Avenue	Philadelphia	 PA 19140			
Slippery Rock High School	201 Kiester Road	Slippery Rock	 PA 16057			
Smethport High School	412 South Mechanic Street	Smethport	 PA 16749			
Solanco High School	585 Solanco Road	Quarryville	 PA 17566			
Somerset Area High School	645 South Columbia Avenue	Somerset	 PA 15501			
Souderton Area Senior High School	41 N School Ln		Souderton	 PA 18964		
South Fayette Township High School	3640 Old Oakdale Road	McDonald	 PA 15057			
South Philadelphia High School	2101 S Broad St		Philadelphia	 PA 19148		
South Side High School	4949 State Route 151		Hookstown	 PA 15050		
Southern Columbia High School	812 Southern Drive		Catawissa	 PA 17820		
Southern Lehigh Senior High School	5800 Main St		Center Valley	 PA 18034		
Spring Grove Area High School	1490 Roth's Church Road	Spring Grove	 PA 17362			
Springfield High School	49 W Leamy Ave		Springfield	 PA 19064		
Springfield Township High School	1801 E Paper Mill Rd		Erdenheim	 PA 19038		
Ss Neumann Goretti High School	1736 South Tenth Street	Philadelphia	 PA 19148			
St. Hubert Catholic High School	7320 Torresdale Avenue		Philadelphia	 PA 19136		
St. Joseph High School	800 Montana Ave		Natrona Heights	 PA 15065		
St. Marys Area Senior High School	977 S Saint Marys Rd		St. Marys	 PA 15857		
St. Pius X High School	844 North Keim Street		Pottstown	 PA 19464		
State College Area High School	653 Westerly Pkwy		State College	 PA 16801		
Steel Valley Senior High School	3113 Main St		Munhall	 PA 15120		
Steelton-Highspire High School	Swatara  & Reynders		Steelton	 PA 17113		
Stern Hebrew High School	1630 Hoffnagle St	Philadelphia	 PA 19152			
Sto-Rox High School	1105 Valley St		McKees Rocks	 PA 15136		
Strath Haven High School	205 S Providence Rd		Wallingford	 PA 19086		
Strong Vincent High School	1330 W 8th St		Erie	 PA 16502		
Stroudsburg High School	1100 West Main Street	Stroudsburg	 PA 18360			
Sun Valley High School	2881 Pancoast Ave	Aston	 PA 19014			
Susquehanna Township High School	3500 Elmerton Ave		Harrisburg	 PA 17109		
Susquehannock High School	PO Box 128	Glen Rock	 PA 17327			
Susquenita High School	309 Schoolhouse Road	Duncannon	 PA 17020			
Tamaqua Area Senior High School	500 Penn St	 P.O. Box 90		Tamaqua	 PA 18252	
Union Area High School	2106 Camden Ave.	New Castle	 Pa. 16101			
Union City High School	105 Concord Street	Union City	 PA 16438			
Union High School	354 Baker St	Rimersburg	 PA 16248			
Uniontown Area High School	146 E. Fayette St.	Kennett Square	 PA 19348			
Unionville High School	750 Unionville Rd		Kennett Square	 PA 19348		
Upper Bucks Christian School	754 E. Rockhill Road		Sellersville	 PA -		
Upper Darby Senior High School	601 North Lansdowne Avenue		Drexel Hill	 PA 19026		
Upper Dauphin Area High School	220 North Church Street	Elizabethville	 PA 17023			
Upper Dublin High School	800 Loch Alsh Ave		Fort Washington	 PA 19034		
Upper Merion High School	435 Crossfield Road	King of Prussia	 PA 19406			
Upper Moreland High School	3000 Terwood Rd		Willow Grove	 PA 19090		
Upper Perkiomen High School	2 Walt Rd		Pennsburg	 PA 18073		
Upper St. Clair High School	1825 McLaughlin Run Rd		Pittsburgh	 PA 15241		
Valley View High School	1 Columbus Dr	Archbald	 PA 18403			
Venango Catholic High School	1505 W 1st St	Oil City	 PA 16301			
Villa Joseph Marie High School	1180 Holland Road	Holland	 PA 18966			
Villa Maria Academy High School	370 Old Lincoln Hwy		Malvern	 PA 19355		
Wallenpaupack Area High School	Hc 6 Box 6075		Hawley	 PA 18428		
Warren Area High School	345 East Fifth Avenue	Warren	 PA 16365			
Warrior Run High School	4800 Susquehanna Trail		Turbotville	 PA 17772		
Warwick Senior High School	301 W Orange St		Lititz	 PA 17543		
Washington George High School	10175 Bustleton Avenue		Philadelphia	 PA 19116		
Washington High School	201 Allison Avenue	Washington	 PA 15301			
Waynesboro Area Senior High School	550 E 2nd St		Waynesboro	 PA 17268		
Waynesburg Central High School	30 Zimmerman Dr		Waynesburg	 PA 15370		
Weatherly Area High School	601 Sixth Street	Weatherly	 PA 18255			
Wellsboro Area High School	225 Nichols St	Wellsboro	 PA 16901			
West Allegheny Senior High School	205 W Allegheny Rd		Imperial	 PA 15126		
